Game State: 9692  |  Segway State:  468  |  Quad State: 1280
Game State: 10588  |  Segway State:  468  |  Quad State: 1240
Game State: 10981  |  Segway State:  427  |  Quad State: 1200
Game State: 11269  |  Segway State:  427  |  Quad State: 1160
Game State: 11550  |  Segway State:  386  |  Quad State: 1202
Game State: 10921  |  Segway State:  345  |  Quad State: 1284
Game State: 11268  |  Segway State:  345  |  Quad State: 1286
Game State: 11549  |  Segway State:  304  |  Quad State: 1288
Game State: 11839  |  Segway State:  263  |  Quad State: 1290
Game State: 12021  |  Segway State:  263  |  Quad State: 1292
Game State: 12197  |  Segway State:  222  |  Quad State: 1294
Game State: 8335  |  Segway State:  181  |  Quad State: 1296
Game State: 8499  |  Segway State:  181  |  Quad State: 1298
Game State: 8811  |  Segway State:  140  |  Quad State: 1216
Game State: 9296  |  Segway State:  140  |  Quad State: 1176
Game State: 8190  |  Segway State:  141  |  Quad State: 1136
Game State: 8260  |  Segway State:  142  |  Quad State: 1096
Game State: 8333  |  Segway State:  143  |  Quad State: 1056
Game State: 8497  |  Segway State:  144  |  Quad State: 1058
Game State: 8191  |  Segway State:  145  |  Quad State: 1060
Game State: 8261  |  Segway State:  146  |  Quad State: 1020
Game State: 8334  |  Segway State:  148  |  Quad State:  980
Game State: 8498  |  Segway State:  149  |  Quad State:  898
Game State: 8810  |  Segway State:  150  |  Quad State:  857
Game State: 9295  |  Segway State:  151  |  Quad State:  816
Game State: 10068  |  Segway State:  152  |  Quad State:  816
Game State: 10754  |  Segway State:  152  |  Quad State:  814
Game State:  220  |  Segway State:  153  |  Quad State:  896
Game State:  305  |  Segway State:  113  |  Quad State:  978
Game State:  399  |  Segway State:  155  |  Quad State: 1060
Game State:  509  |  Segway State:  197  |  Quad State: 1100
Game State:  744  |  Segway State:  238  |  Quad State: 1140
Game State: 1012  |  Segway State:  238  |  Quad State: 1222
Game State: 1526  |  Segway State:  238  |  Quad State: 1304
Game State: 2297  |  Segway State:  238  |  Quad State: 1302
Game State: 3049  |  Segway State:  279  |  Quad State: 1300
Game State: 3730  |  Segway State:  320  |  Quad State: 1298
Game State: 4077  |  Segway State:  320  |  Quad State: 1296
Game State: 4481  |  Segway State:  361  |  Quad State: 1294
Game State: 4865  |  Segway State:  401  |  Quad State: 1292
Game State: 5519  |  Segway State:  441  |  Quad State: 1290
Game State: 6368  |  Segway State:  481  |  Quad State: 1248
Game State: 7391  |  Segway State:  481  |  Quad State: 1206
Game State: 8072  |  Segway State:  481  |  Quad State: 1204
Game State: 8225  |  Segway State:  481  |  Quad State: 1202
Game State: 8292  |  Segway State:  481  |  Quad State: 1160
Game State: 8411  |  Segway State:  481  |  Quad State: 1158
Game State: 8629  |  Segway State:  481  |  Quad State: 1156
Game State: 9058  |  Segway State:  481  |  Quad State: 1238
Game State: 9692  |  Segway State:  481  |  Quad State: 1280
Game State: 10588  |  Segway State:  399  |  Quad State: 1240
Game State: 10981  |  Segway State:  357  |  Quad State: 1200
Game State: 11269  |  Segway State:  275  |  Quad State: 1160
Game State: 11550  |  Segway State:  233  |  Quad State: 1202
Game State: 10921  |  Segway State:  192  |  Quad State: 1284
Game State: 11268  |  Segway State:  150  |  Quad State: 1286
Game State: 11549  |  Segway State:  192  |  Quad State: 1288
Game State: 11839  |  Segway State:  233  |  Quad State: 1290
Game State: 12021  |  Segway State:  276  |  Quad State: 1292
Game State: 12197  |  Segway State:  276  |  Quad State: 1294
Game State: 8335  |  Segway State:  235  |  Quad State: 1296
Game State: 8499  |  Segway State:  235  |  Quad State: 1298
Game State: 8811  |  Segway State:  235  |  Quad State: 1216
Game State: 9296  |  Segway State:  194  |  Quad State: 1176
Game State: 8190  |  Segway State:  153  |  Quad State: 1136
Game State: 8260  |  Segway State:  152  |  Quad State: 1096
Game State: 8333  |  Segway State:  151  |  Quad State: 1056
Game State: 8497  |  Segway State:  150  |  Quad State: 1058
Game State: 8191  |  Segway State:  149  |  Quad State: 1060
Game State: 8261  |  Segway State:  148  |  Quad State: 1020
Game State: 8334  |  Segway State:  147  |  Quad State:  980
Game State: 8498  |  Segway State:  146  |  Quad State:  898
Game State: 8810  |  Segway State:  146  |  Quad State:  857
Game State: 9295  |  Segway State:  145  |  Quad State:  816
Game State: 10068  |  Segway State:  144  |  Quad State:  816
Game State: 10754  |  Segway State:  144  |  Quad State:  814
Game State:  220  |  Segway State:  143  |  Quad State:  896
Game State:  305  |  Segway State:  142  |  Quad State:  978
Game State:  399  |  Segway State:  141  |  Quad State: 1060
Game State:  509  |  Segway State:  140  |  Quad State: 1100
Game State:  744  |  Segway State:  180  |  Quad State: 1140
Game State: 1012  |  Segway State:  180  |  Quad State: 1222
Game State: 1526  |  Segway State:  180  |  Quad State: 1304
